personLabel,personDescription
Corinna E. Lathan,"American biopsychologist, mathematician, and neuroscientist"
Katsuko Saruhashi,Japanese geochemist
Lucy Everest Boole,Irish chemist and pharmacist (1862-1904)
Maud Menten,Canadian physician and chemist
Orna Berry,"Scientist, high-tech entrepreneur, businesswoman"
Ruby Hirose,American biochemist and bacteriologist
Judy L. Walker,American mathematician
Jacqueline Hinman,American businesswoman
Palma Formica,
E.S. Nemirova,botanist
Grete Albrecht,German neurologist
Elsie Eaves,American engineer and journalist
Elza Erkip,American computer engineer
Bella Subbotovskaya,Russian mathematician
Bonnie Berger,American mathematician and computer scientist
Christy Haynes,American analytical chemist
Janice E. Cuny,American computer scientist
Lyudmila Postoyalko,Belarusian doctor
Beth Slikas,American biologist
Aino Käärik,Estonian botanist and microbiologist
Wanda Szemplińska-Stupnicka,"Polish glider pilot, scientist"
Hoàng Xuân Sính,Vietnamese mathematician
Ning Li,American physicist
Hande Özdinler,scientifique et médecin turque
Isabel Martin Lewis,astronomer
Aline Huke Frink,American mathematician and university lecturer
Carla Faria,Brazilian physicist
Joan Berkowitz,chemist
Susan Elizabeth Wood Crocker,American physician and professor
Susan G. Ernst,American biologist
Barbara Slawig,German author and translator
Violet Plummer,South Australian medical doctor
Ida Barney,American astronomer
Pat Patfoort,Belgian anthropologist and biologist
Praskov′ja Georgievna Parchomenko,Soviet astronomer (1886-1970)
Mariette Rousseau,Belgian mycologist (1850-1926)
Julia Brinck,
Rita Ale,
Michelina Lunesu,Italian politician
Cristina Salmeri,botanist
Ethel Anson Steel Peckham,"American horticulturalist, botanist and botanical artist (1879-1965)"
Irene Arell,
Kathy A. Meney,botanist
Sabrina Casanova,Italian physicist
Marcia Ascher,American ethnomathematician
Beatrice Helen Worsley,First female computer scientist in Canada
Nora Stanton Blatch Barney,"British civil engineer, architect and suffragist"
Ingeborg Hochmair,Austrian electrical engineer
Joanna Masel,researcher
Marianne Bronner,developmental biologist
Pierina Scaramella,botanist (1906-1992)
Kate Starbird,researcher and American basketball player
Kerstin N. Nordstrom,American physicist
Susan Martonosi,American mathematician
Myra Adele Logan,physician
Kristine Yaffe,American scholar
Elżbieta Król,Polish biologist
Elisa Augusta da Conceição Andrade,
A.O. Orazova,botanist
Alice Prodoehl,botanist
Ch.E. Essenova,botanist
Maria Kaliszewska-Drozdowska,Polish biologist
Deborah Estrin,American computer scientist
Elizabeth Ann Nalley,American chemist
Mary Peters Fieser,American chemist
Anna Iliná,Mexican researcher on biotechnology
Nancy Carrasco,"Mexican physician, molecular biochemistry"
Louise Hammarström,Swedish chemist
Cathrine M. Lofthus,طبيبة نرويجية
Fadhila Chitour,
Barbara Niethammer,German mathematician and materials scientist
Sibylla Prieß-Crampe,German mathematician
Sarah McNutt,
Jean E. Rubin,
Sumathi Rao,Indian physicist
Carol V. Robinson,British chemist and professor
Lise Meitner,Austrian-Swedish physicist
Padmasree Warrior,Indian chemical engineer and business executive
Helen Sedgwick,British physicist and author (1978-    )
Sophia Brahe,Danish horticulturalist
Veronica Carstens,German First Lady
Maria Del Rio,Italian physician
Vera Ilyinichna Glebova,Russian-Soviet chemist (1885–1935)
Hortense Berthet,(1923-2004)
Irina Malkhasyan,Armenian anaesthesiologist
Pauline Newman,American judge
Evelyn J. Welsford,phycologist
Paulette Legrand,
Clarice de Durisio,
Lidija Kirhenšteina,
Erika Tatiana Camacho,Mexican mathematician
Judith Estrin,American businesswoman
Letitia Obeng,The grandmother of female scientists in Ghana. First Ghanaian woman to obtain a degree in Zoology and first to be awarded a doctorate.
Marjolein Dijkstra,Dutch condensed matter physicist
Ruth Arnon,Israeli biochemist
Brenda Baker,American computer scientist
Joanna Kurczewska,researcher
Shelly M. Jones,American mathematics educator
Amanda Chessell,British computer scientist
Britta Burreau,
Dana Ulery,American computer scientist
Evelyn Berezin,American computer scientist
Maria Zemankova,computer scientist
Rosalind Picard,American computer scientist
Telle Whitney,American computer scientist
Margaret Robinson,"Professor of Molecular Cell Biology, University of Cambridge, since 2003"
Rhonda Childress,
Glenda Schroeder,American software engineer
Valeria Bertacco,academic and researcher in electrical engineering and computer science
Lyudmila Kravets,Hero of the Soviet Union
Beata Gabryś,Polish biologist
Caterina Scoglio,Italian network scientist and computer engineer
Christina Schultheiss,"German civil engineer, active in the Protestant church"
Inna Sadovnichaya,russische Mathematikerin
Renata Bilewicz,researcher ORCID ID = 0000-0003-0058-3691
Tatyana Ivanovna Kuznetsova,russische Mathematikerin
Bess Mensendieck,niederländisch-amerikanische Ärztin und Physiotherapeutin
Sookyung Choi,South Korean particle physicist
Ayorkor Korsah,The head of the Department of Computer Science at Ashesi University College in Ghana.
Alexandra Duel-Hallen,Professor of electrical and computer engineering
Sylvie Retailleau,"French physicist, university president"
Barbara Schaffner,Swiss politician
Dagmar Belakowitsch,Member of the Parliament of Austria
Margarete Hilferding,Austrian MD & psychoanalyst
Maria Teschler-Nicola,"Austrian human biologist, anthropologist and ethnologist"
Marietta Blau,Austrian nuclear physicist
Robin M. Canup,American astrophysicist
María Julia Alsogaray,Argentine policy maker
Mary Arlene Appelhof,Biologist/worm farmer/environmentalist
Kaisa Matomäki,Finnish mathematician
Claudia D. Vargas,
Claudia Vargas,
Ana Carolina Godoy-Bürki,
Sabina Różycka,
Shokouh Esmailbegi,
Snegulka Detoni,Slovene physicist
Norma Bonaccorso,
Valerija Strnad,
Dilma Da Silva,Brazilian-American systems software researcher cloud computing
Sara Bendahan,Venezuelan physician
Maria Cristina Facchini,Italian geoscientist
Maria da Luz Rocha Afonso,Portuguese botanist
Ewa Symonides,
Berezovska Faina Izrailivna,Ukrainian chemist
Silvia Kochen,
Luisa Cifarelli,
Teresa Teresiak,
Patricia A. Verses,phycologist
Bonnie J. Dunbar,American engineer and astronaut
Mira Ashby,Founder of Ashby House
Žofie Jesenská,
Simonetta Peccenini,Italian botanist
Anna Benešová,
Evangelina Vormittag,
Elizabeth LeStourgeon,Amerikanische Mathematikerin und Hochschullehrerin
Eva Bayer-Fluckiger,Swiss mathematician
Dawn Shaughnessy,American chemist
Elisabetha Fiorini-Mazzanti,Italian botanist (1799-1879)
Vanesa Gottifredi,Argentine chemist and biologist
Wilma Z. Davis,American codebreaker during World War II
Kitty Strand,Norwegian physician
Tatiana Vladimirovna Lavrova,Russian botanist
Tamilla Hasanova,Azerbaijani mathematician
Marja Väisälä,Finnish astronomer
Agnes Sime Baxter,mathematician
Margita von Rochow,botanist (1921-1974)
Montserrat Garcia Balletbó,Spanish physician
Claire Wainwright,Australian paediatric respiratory physician
Ilse Rosenthal-Schneider,German-Australian physicist and philosopher
Tscharna Rayss,Russian-Israeli botanist (1890-1965)
Michèle Rubirola,French politician
Arielle Kitio Tsamo,
Josie Osborne,
Liv Storstein,طبيبة نرويجية
Edurne Larraza Mendiluze,Spanish computer scientist
Josephine White deLacour,"American physician and suffragist, the first woman physician in Delaware (about 1849 -1929)"
Jovita Cislinski Yesilyurt,British botanist
Mildred Gostling,English chemist
Brigitte Dahlbender,German biologist
Anjali Bansal,global Partner and MD
Asya Kazantseva,Russian science journalist and popularizer of science
Margarita Bondartseva,Russian mycologist
Barbara Bajd,Slovene biologist
Gail Wolkowicz,Canadian mathematician
Alice Woodward Horsley,Doctor
Ann Brickley,American engineer
Nina Catherine Muir,Doctor
Joanna Tse,Hong Kong pulmonologist
Amy Barger,astronomer
Eliza Cook,physician
Helen Dean King,American biologist
Tiffany Margaret Hall,British engineer
Brigitte Jaumard,Computer scientist
Maria Auxiliadora Coelho Kaplan,Brazilian chemist
Edeltraud Hanappi-Egger,Austrian computer scientist
Esther A. Hopkins,Female African American chemist and environmental attorney
Rose Frisch,American biologist
Andrea Marshall,marine biologist
Eleonora Jenko Groyer,Slovene physician
Şebnem Korur Fincancı,türkische Menschenrechtsaktivistin
Marie Manceau,French biologist
Ekaterina Viktorovna Raykova,russische Biologin
Lidia Mannuzzu,Italian biologist
Carolyn Calfee,American physician
Marie Tamarelle-Verhaeghe,French politician
Felecia M. Nave,American chemical engineer and academic administrator
Dana Drábová,Czech physicist and local politician
Odette Jasse,French astronomer died 1949
Varvara Kazakova,russische Ärztin
Bethenia Angelina Owens-Adair,American physician
Clelia Duel Mosher,American physician
Anne E. Magurran,British biologist
Carla Ellis,American computer scientist
Aleksandra Szcześ,
Barbara M. Brizuela,American academic
Vicki Chen,Australian engineer
Leah Findlater,Canadian/American computer scientist
Maria Watkins,medical electrical engineer
Marília Chaves Peixoto,Brazilian mathematician
Becky Baltz,American civil engineer
Muhiba Yakubova,Tajikistani biologist
Ottoline Leyser,British botanist
Marie de Brimeu,Dutch botanist (1550-1605)
Mahyat Shafapour Tehrany,Iranian geomatic engineer
Sylvaine Neveu,كيميائية فرنسية
Maud Forrester-Brown,British surgeon
Mary Blair Moody,"American physician, anatomist and editor"
Renate Radek,protistologist and professor at the Freie Universität Berlin
Valentina Nasonova,russische Ärztin
Agnes Block,Dutch botanist and art collector (1629-1704)
Irma Thesleff,"professor (University of Helsinki), Academian of Science (Academy of Finland)"
Paulina Seidenbeutel-Karbowska,Polish doctor and pianist
Veronika Baculáková,"Czechoslovak member of Czechoslovak parliament, doctor, politician and hungary nation politician"
Nathalie Eisenbaum,"French mathematician, statistician"
Juliet Wege,Australian botanist
T. Christine Stevens,American mathematician
Astrid Björkman,Swedish physician
Ethel Osborne,Australian industrial hygienist and medical practitioner
Julia Kinberg,Swedish physician
Ștefania Mărăcineanu,Romanian physicist (1882-1944)
Martha Gual,botanist
Lynne Karen Deutsch,astrofísica estadounidense
Charlotte Erlanson-Albertsson,Swedish chemist
Susana Peralta,botanist
Edith Kroupa,Austrian chemist
Elisabeth Bouchaud,physicist
Patricia D. Shure,American mathematics educator
Rukhmabai,one of the first practicing women doctors in colonial India.
Anita Bråkenhielm,Swedish politician
Margaret Gurney,"American mathematician, statistician, and computer programmer"
Maria Gardfjell,Swedish politician
Mireille Capitaine,French mathematician
Zinka Svetelj,طبيبة سلوفينية
Märta Adolfsson,طبيبة سويدية
Veena Misra,Electrical Engineer
María Teresita de J. Colotti,Argentinian botanist
Su Donglin,Chinese engineer
Amanda Cooper Sarkar,English particle physicist
Eugenia Duodu,Canadian chemist; CEO of Visions of Science Network for Learning
Betzy Berntsen,Norwegian physician
Marija Nikolajewna Nikolskaja,russische Entomologin
Hilda Bynoe,Physician; Governor of Grenada
"June Lloyd, Baroness Lloyd of Highbury",British paediatrician and life peer
Katharina Dalton,British medical doctor and author
Joan Hodgman,Pioneer Neonatologist who studied Sudden Infant Death Syndrome.
Linda Cardozo,British urogynaecologist
Lucia Galeazzi Galvani,Italian Medical scientist
Patricia Eugenia Cárdenas Santa María,Colombian diplomat
Susan Wicklund,American abortion provider
Caroline Hargrove,Engineer
Marie-Laure Groult,French botanist
Gisela Graf-Blauner,
Starr Roxanne Hiltz,American academic
Mabel Bianco,Argentine feminist doctor
Rita Arditti,"Argentinian biologist, professor and activist"
Sharon Weiss,American pathologist
Frances Lowater,physicist and astronomer
Ailie MacAdam,British engineer and manager
Stephanie Burns,American organosilicon chemist and businesswoman
Kira Alekseevna Mamkaeva,botanist
Ulrica Wilson,African-American mathematician
Agnes Quirk,American botanist (1884-1974)
Marie Lucie de Poucques,French botanist (1913-1996)
Pilar Castillejo i Medina,spanische Politikerin und Physikerin
Lise Vandecasteele,
Nissaf Ben Alaya,Tunisian doctor
Mandë Holford,American chemist
Ilma Grace Stone,Australian botanist (1913-2001)
Ruth Plummer,Professor of Experimental Cancer Medicine
Gesche Pospiech,deutsche Physikerin
Toshiko Mayeda,Japanese American chemist
Jannette Anderson,Scottish biochemist
Silke Wenzel,German chemist
Nina Alexandrowna Gorjunowa,russische Chemikerin und Hochschullehrerin
Synnøve Liaaen Jensen,chemist
Miroslava Vicherková,
Jarmila Klímová,
Mélanie Hahnemann,French homeopathic physician (1800-1878)
Margaret Maxfield,American mathematician and maths book author
Lena Claesson-Welsh,"Swedish biochemist (MD, Ph.D.), professor of medical biochemistry (Uppsala University)"
Sofia Feltzing,astronomer (b. 1965)
Rocío Fernández,Swedish biologist and politician
Deborah Hughes Hallett,American mathematics educator
Janet Rideout,Organic chemist
Omowunmi Sadik,"Nigerian professor, chemist, and inventor"
Rebecka Le Moine,Swedish Member of Parliament
Jana Mačáková,
Cristina Pereyra,Venezuelan woman mathematician
Helena Rašková,"Czech doctor, university educator and scientist"
Elsa Lewkowitsch,British research chemist
Ruth Ella Moore,American bacteriologist
Jill Bolte Taylor,American neuroscientist
Caroline Black,American botanist (1887-1930)
Laura Ferreira,
Eve Palmer,South African non-fiction writer and botanist (1916-1998)
Gertrude Clarke Nuttall,"British writer, botanist and lichenologist (1867-1929)"
Anna Stec,Professor in Fire Chemistry and Toxicology
Manar Fayyad,Jordanian chemist and university president
Romina Vidal-Russell,botanist
Sandra S. Aliscioni,botanist
Sarah Marie Wilson,botanist
Sonia Marisa Hefler,botanist
Magali Orellana,política ecuatoriana
Aldona Wos,"American ambassador, physician, politician"
Ching-Liang Lin,Taiwanese Prof of physics
Evgenia Savelova,Russian physicist
Haruko Obokata,Japanese stem-cell researcher
Rosa García García,CEO of Siemens Spain
Rose Mooney-Slater,American physicist
Ursula Bassler,scientist
Rose Stoppel,German botanist (1874-1970)
Margarethe von Wied-Runkel,deutsche Adelige und Medizinerin
Grethe Rytter Hasle,Norwegian scientist and planktologist (1920-2013)
Aurora Montemartini Corte,mycologist
Feifei Zhang,biologist specialized in ichthyology
Sushila Nayyar,Indian politician and physician
Sue Brannon Clark,
Sharon M. Weiss,
Lydie Roskovcová,
Lyudmila Yanukovych,wife of the first Ukrainian president
Sayeba Akhter,Ekushey Padak award recipient (Physician)
Lynne D. Richardson,American emergency physician
Margret Rey,"children's illustrator and writer, German Jewish American"
Bibiana Vilá,Argentine biologist
Amy Shell-Gellasch,Mathematician
Sarala Roy,Indian educationalist
Anahit Tonoyan,Armenian chemist
Jenny Hempel,Danish botanist (1882-1975)
Susana Crespo,Argentinian botanist (1928-2010)
Susanne Yelin,German physicist
Edwina Cornish,Australian biologist and academic
Larisa Sydorchuk,
Susanne Höfner,Swedish astronomer
Maria Lefeld-Sosnowska,Polish physicist
