personLabel,occupationLabel,institutionLabel
Maria Heep-Altiner,mathematician,University of Bonn
Jaz Rabadia,engineer,"City, University of London"
Yael Adler,physician,Goethe University Frankfurt
Alice Golsen,physicist,Heidelberg University
Dalia Grinkevičiūtė,physician,Vytautas Magnus University
Joan Freeman,physicist,Newnham College
Asuncion Raymundo,biologist,University of the Philippines
Philippa Marrack,biologist,University of San Diego
Natalia Gheorghiu,physician,University of Bucharest
Dorothy Blum,computer scientist,Brooklyn College
Helen G. Grundman,mathematician,"University of California, Berkeley"
Gretel Adorno,chemist,Humboldt University of Berlin
Vinita Marwaha Madill,astronomer,International Space University
Mary Sherman Morgan,engineer,Minot State University
Fanja Isaakovna Zborovskaja,physician,Moscow State University
Gina Paola Méndez,botanist,National University of Colombia
Gabriele Berg,biologist,University of Greifswald
Conny Aerts,physicist,Université catholique de Louvain
Elizabeth Bragg,engineer,University of California
إقبال دعقان,chemist,Taiz University
Alicja Borowska,biologist,University of Warsaw
Rosalind Franklin,physicist,St Paul's Girls' School
Magda Chanco,botanist,National University of San Marcos
Jana Roithová,chemist,Q22978095
Matire Harwood,physician,University of Otago
Roksana Babajan,engineer,National University of Uzbekistan
Jane Atkinson,engineer,Loughborough University
Aparna Dutta Gupta,biologist,Banaras Hindu University
Lula Pace,botanist,Baylor University
Anna Frederika Bage,biologist,University of Melbourne
Katrin Wendland,physicist,University of Bonn
Julie F. Barcelona,botanist,Miami University
Estelle Basor,mathematician,"University of California, Santa Cruz"
Thung Sin Nio,physician,Erasmus University Rotterdam
Gladys Nortey Ashitey,physician,American University of the Caribbean
Jane E. Henney,physician,Manchester University
Fanny Kassel,mathematician,Lycée Louis-le-Grand
Amy Gladfelter,biologist,Princeton University
Mary D'Imperio,mathematician,University of Pennsylvania
Florence R. Sabin,physician,Smith College
Frances A. Rosamond,mathematician,Cornell University
Anne Lauvergeon,physicist,Mines ParisTech
Geneviève Meurgues,botanist,Conservatoire national des Arts et Métiers
Nancy Davis Griffeth,computer scientist,Michigan State University
Rebecca Bace,computer scientist,University of Alabama at Birmingham
Nydia Helena Mayolo Quiroga,physician,University of Valle
Nastassja Cipriani,mathematician,Katholieke Universiteit Leuven
Sarah Buck,engineer,University of Exeter
Franja Bojc Bidovec,physician,"School of Medicine, University of Zagreb"
Kate Isabel Campbell,physician,University of Melbourne
Els Borst,physician,University of Amsterdam
Melly Oitzl,biologist,University of Düsseldorf
Ana Teresa Diego,astronomer,National University of La Plata
Charlotte E. Maguire,physician,University of Memphis
Kelly P. Steele,botanist,"University of California, Santa Barbara"
Rosalind Franklin,chemist,St Paul's Girls' School
Wendy Boss,botanist,University of Washington
Marjorie Thompson,biologist,Brown University
Helen M. Berman,chemist,University of Pittsburgh
Alicia Bárcena Ibarra,biologist,John F. Kennedy School of Government
Eugenia Maresch,physicist,Leeds Beckett University
Margaret Greig,mathematician,Newcastle High School for Girls
Mary Graustein,mathematician,Radcliffe College
Elizabeth Crone,biologist,College of William & Mary
Renata Kallosh,physicist,Lebedev Physical Institute
Bibha Chowdhuri,physicist,University of Manchester
Vanesa Magar Brunner,mathematician,Lycée Franco-Mexicain
Derelie Mangin,physician,University of Otago
Sunčica Čanić,mathematician,Stony Brook University
Sudhira Das,engineer,University of Calcutta
Talita Mota Machado,botanist,Federal University of Minas Gerais
María Silvia Ferrucci,botanist,National University of Córdoba
Margaret Thatcher,chemist,City Law School
Wendy Boss,botanist,Indiana University
Yewande Olubummo,mathematician,University of Massachusetts Amherst
Barbara J. Collins,botanist,Smith College
Minnie Howard,physician,University of Kansas School of Medicine
Jadwiga Zienkiewiczówna,physician,Wydział Lekarski Uniwersytetu Warszawskiego
Limor Fried,engineer,Massachusetts Institute of Technology
Trishna Basak,engineer,Jadavpur University
Evelyn Miralles,computer scientist,University of Houston–Clear Lake
Nancy J. Currie,engineer,University of Southern California
Dominique Costagliola,biologist,Paris Diderot University
Jana Košecká,computer scientist,University of Pennsylvania
Graciela M. Calabrese,botanist,Universidad Autónoma de Puebla
Nadine Burke Harris,physician,Harvard T.H. Chan School of Public Health
Lü Zhi,biologist,Peking University
Sheila Scott Macintyre,mathematician,University of Edinburgh
Nicoletta Cellinese,botanist,University of Reading
Helen Dickie,physician,University of Wisconsin–Madison
Yongjie Zhang,engineer,University of Texas at Austin
Augusta Margareta Muhl,physician,Lund University
Rosilene Rodrigues Silva,botanist,Universidade Federal do Paraná
Jessica Yaeger,programmer,Thomas More University
Carol Espy-Wilson,engineer,Stanford University
Lin Wenyi,engineer,Tsinghua University
Margaret M. Hyland,engineer,University of Western Ontario
Ângela Guadagnin,physician,University of São Paulo
Lynn G. Clark,botanist,Iowa State University
Grażyna Broda,physician,Medical University of Warsaw
Rentala Madhubala,biologist,Jawaharlal Nehru University
Eleonora Catsigeras,mathematician,Universidad de la República - Udelar
Jeanneth Pérez,botanist,National Autonomous University of Mexico
Deborah Washington Brown,computer scientist,Harvard University
Julia Mundy,physicist,Harvard University
Irène Till-Bottraud,botanist,University of Paris
Vera Gaze,astronomer,Faculty of Physics and Mathematics of the Saint Petersburg University
Frances Hamerstrom,biologist,Smith College
María Elisabeth del Carmen Ramírez Medina,botanist,National Autonomous University of Mexico
Catherine Plaisant,computer scientist,Pierre and Marie Curie University
Maria Montessori,mathematician,Sapienza University of Rome
Virginia Apgar,physician,Columbia University College of Physicians and Surgeons
Noemí Jiménez Reyes,botanist,National Autonomous University of Mexico
Anne Lucy Bosworth Focke,mathematician,University of Göttingen
Stella Stevens Bradford,physician,Smith College
Florentia Fountoukli,mathematician,Q38284010
Emily Stowe,physician,New York Medical College
Rebecca Elson,astronomer,Smith College
Frances Northcutt,engineer,University of Houston
Sitara Begum,physician,Dhaka Medical College and Hospital
Joan B. Broderick,chemist,Northwestern University
Grace Chisholm Young,mathematician,University of Göttingen
Anna Laromaine,chemist,University of Girona
Wang-Chiew Tan,computer scientist,National University of Singapore
Nubia Muñoz,physician,Johns Hopkins University
Carolyn Bertozzi,chemist,"University of California, San Francisco"
Kirstine Meyer,physicist,University of Copenhagen
Sanghamitra Bandyopadhyay,computer scientist,University of Calcutta
Ana Buenaventura Mocoroa,physicist,National University of La Plata
Suzanne Oparil,biologist,Columbia University College of Physicians and Surgeons
Anat Loewenstein,physician,Hebrew University of Jerusalem
Gloria Olive,mathematician,Brooklyn College
Christina Cruickshank Miller,chemist,Heriot-Watt University
Ana D. Caperta,botanist,Instituto Superior Técnico
María Amalia Dolores Ubeda,physician,Facultad de Medicina
Eudoxia Píriz,physician,University of Granada
Giulia Di Nunno,mathematician,University of Pavia
Parvaneh Vosogh,physician,Tehran University of Medical Sciences
Blanca León,botanist,National University of San Marcos
Mary Ann Bickerdyke,physician,Oberlin College
Anne Ephrussi,biologist,Harvard University
Sharon Oviatt,computer scientist,University of Toronto
Yolanda Ortiz,chemist,University of Paris
Mary Calderone,physician,Columbia University
Jean Emily Henley,physician,Barnard College
Elizabeth Herriott,botanist,University of Canterbury
Alice Mary Hilton,mathematician,Columbia University
Eugenie Clark,biologist,Hunter College
Maria Montessori,physician,Sapienza University of Rome
Kerry Landman,mathematician,University of Melbourne
Gladys del Estal Ferreño,computer scientist,University of the Basque Country
Veronica Vaida,physicist,Yale University
Amy Mainzer,astronomer,"University of California, Los Angeles"
Elenora Tzolakovna Gabrieljan,botanist,Moscow State University
Emily Balskus,biologist,Harvard University
Marcella Hazan,biologist,University of Ferrara
Véronique Gouverneur,chemist,Université catholique de Louvain
Elizabeth M. Ramsey,physician,Mills College
Marina Morabito,botanist,University of Milan
Kathleen Bever Blackburn,botanist,Bedford College
Françoise Soussaline,physicist,Pierre and Marie Curie University
Yan Aoshuang,physicist,Beijing Normal University
Heather Willauer,chemist,University of Alabama
Rebeca Politano Romanini,botanist,Universidade de Mogi das Cruzes
Sally Cockburn,mathematician,Queen's University
Nina Tandon,engineer,Cooper Union
Blanca León,botanist,Aarhus University
Frances Kirwan,mathematician,Clare College
Dorothy Walcott Weeks,mathematician,Wellesley College
Rubina Abid,botanist,University of Karachi
Johanna Piesch,computer scientist,University of Vienna
Ping Fu,computer scientist,University of San Diego
Yekaterina Samutsevich,programmer,Moscow State University
Rachel Rotenberg,physician,University of Montpellier
Dierdré A. Snijman,botanist,University of Cape Town
"Ada Aleksandrovna Polyakova,",chemist,Saint Petersburg State Institute of Technology
Noelle Eckley,chemist,Harvard University
Florence Babonneau,chemist,ESPCI ParisTech
Bohuslava Kecková,physician,University of Vienna
Sheila Scott Macintyre,mathematician,Girton College
Lillian K. Bradley,mathematician,University of Michigan
Helen M Byrne,mathematician,University of Oxford
Lucía G. Atehortúa,botanist,University of Antioquia
Lyubov Novikova,botanist,Mordovian State University
Marta Macho Stadler,mathematician,Claude Bernard University Lyon 1
Carla Barber García,physician,University of Las Palmas de Gran Canaria
Veronica Vaida,chemist,Yale University
Alice Mary Hilton,mathematician,University of Oxford
Natalia Rybczynski,biologist,Duke University
Bernadine Healy,physician,Harvard Medical School
Gyultekin Askerova,physician,Azerbaijan Medical University
Bernadine Healy,physician,Johns Hopkins University
Sally I. McClean,computer scientist,Ulster University
Xia Peisu,computer scientist,Shanghai Jiao Tong University
Lin Lanying,physicist,Dickinson College
Asima Chatterjee,botanist,University of Calcutta
Dorothy Walcott Weeks,physicist,Wellesley College
Lisa Jardine-Wright,physicist,"Institute of Astronomy, Cambridge"
Aum Dorji Choden,engineer,Syracuse University
Clelia Duel Mosher,physician,Johns Hopkins University
Karen Parshall,mathematician,University of Chicago
Dorothy Walcott Weeks,mathematician,Simmons University
Elise Harmon,engineer,University of Texas at Austin
Adriana Cristina Serquis,physicist,University of Buenos Aires
Brooke Shipley,mathematician,Harvard University
Sophie Bledsoe Aberle,physician,Stanford University
Mary Broadfoot Walker,physician,Edinburgh School of Medicine for Women
Veronica Vaida,physicist,Brown University
Kirsten Eisenträger,mathematician,University of Tübingen
Julia Gordon,mathematician,University of Michigan
Chi Onwurah,engineer,Imperial College London
Susan J. Eggers,engineer,"University of California, Berkeley"
Christina Sormani,mathematician,New York University
Eleanor Campbell,physician,Bryn Mawr College
Thelma Alper,physician,Radcliffe College
Fatima Hamroush,physician,University of Benghazi
Jane B. Reece,biologist,Harvard University
Susan Hermiller,mathematician,Cornell University
Ida Augusta Keller,botanist,University of Zurich
Clelia Duel Mosher,physician,University of Wisconsin–Madison
Alison McCusker,botanist,University of Sydney
Lauren Kiyomi Williams,mathematician,Harvard University
María Betiana Angulo,botanist,National University of the Northeast
Eva Ferreira García,mathematician,Courant Institute of Mathematical Sciences
Sally Poncet,biologist,University of Tasmania
Ana Luiza du Bocage Neta,botanist,Federal University of Pernambuco
Natalie Enright Jerger,computer scientist,University of Wisconsin–Madison
Raluca Ripan,chemist,Alexandru Ioan Cuza University
Crista Arangala,mathematician,Allegheny College
Deborah Washington Brown,mathematician,Harvard University
Siti Hasmah Mohamad Ali,physician,National University of Singapore
Siti Hasmah Mohamad Ali,physician,University of Malaya
Geraldine Ssali Busuulwa,mathematician,University of Manchester
Agnieszka Kolada,botanist,"Faculty of Biology, University of Warsaw"
Eva Viehmann,mathematician,University of Bonn
Marsha Rhea Williams,computer scientist,Beloit College
Paola Giometti,biologist,Methodist University of São Paulo
Maria Löhnis,biologist,Utrecht University
Daryl Haggard,astronomer,University of Washington
Ayanna Howard,computer scientist,Brown University
Zhenan Bao,engineer,University of Chicago
Elise Harmon,engineer,University of North Texas
